# x_m,y_m,w_tr_right_m,w_tr_left_m
278.83,331.82,4,4
279.26,331.82,4,4
279.68,331.81,4,4
280.1,331.8,4,4
280.52,331.78,4,4
280.93,331.76,4,4
281.34,331.74,4,4
281.74,331.7,4,4
282.14,331.67,4,4
282.54,331.63,4,4
282.94,331.58,4,4
283.33,331.54,4,4
283.72,331.48,4,4
284.1,331.42,4,4
284.49,331.36,4,4
284.86,331.29,4,4
285.24,331.23,4,4
285.61,331.15,4,4
285.98,331.07,4,4
286.35,330.99,4,4
286.72,330.91,4,4
287.08,330.82,4,4
287.44,330.73,4,4
287.8,330.63,4,4
288.15,330.53,4,4
288.5,330.43,4,4
288.86,330.33,4,4
289.2,330.21,4,4
289.55,330.1,4,4
289.9,329.98,4,4
290.24,329.86,4,4
290.58,329.74,4,4
290.92,329.6,4,4
291.26,329.47,4,4
291.59,329.33,4,4
291.93,329.19,4,4
292.26,329.04,4,4
292.58,328.89,4,4
292.91,328.74,4,4
293.23,328.58,4,4
293.55,328.42,4,4
293.87,328.25,4,4
294.18,328.08,4,4
294.49,327.91,4,4
294.79,327.73,4,4
295.09,327.54,4,4
295.4,327.36,4,4
295.69,327.16,4,4
295.99,326.97,4,4
296.28,326.77,4,4
296.56,326.56,4,4
296.85,326.35,4,4
297.13,326.13,4,4
297.41,325.91,4,4
297.68,325.68,4,4
297.95,325.45,4,4
298.22,325.22,4,4
298.48,324.98,4,4
298.73,324.74,4,4
298.98,324.49,4,4
299.23,324.23,4,4
299.48,323.98,4,4
299.71,323.71,4,4
299.94,323.44,4,4
300.17,323.17,4,4
300.39,322.89,4,4
300.61,322.61,4,4
300.83,322.32,4,4
301.04,322.03,4,4
301.25,321.73,4,4
301.46,321.43,4,4
301.67,321.13,4,4
301.87,320.82,4,4
302.08,320.51,4,4
302.28,320.19,4,4
302.48,319.88,4,4
302.68,319.56,4,4
302.88,319.24,4,4
303.08,318.91,4,4
303.27,318.59,4,4
303.46,318.26,4,4
303.65,317.92,4,4
303.83,317.59,4,4
304.01,317.25,4,4
304.19,316.91,4,4
304.35,316.57,4,4
304.52,316.22,4,4
304.67,315.87,4,4
304.83,315.52,4,4
304.97,315.17,4,4
305.12,314.81,4,4
305.26,314.46,4,4
305.39,314.1,4,4
305.52,313.74,4,4
305.64,313.38,4,4
305.77,313.01,4,4
305.89,312.65,4,4
306.01,312.28,4,4
306.12,311.91,4,4
306.24,311.53,4,4
306.35,311.15,4,4
306.46,310.78,4,4
306.56,310.39,4,4
306.67,310.01,4,4
306.77,309.61,4,4
306.87,309.22,4,4
306.97,308.82,4,4
307.07,308.42,4,4
307.16,308.01,4,4
307.25,307.6,4,4
307.34,307.19,4,4
307.43,306.78,4,4
307.51,306.35,4,4
307.6,305.93,4,4
307.68,305.5,4,4
307.76,305.08,4,4
307.84,304.65,4,4
307.91,304.21,4,4
307.99,303.78,4,4
308.07,303.34,4,4
308.14,302.91,4,4
308.21,302.47,4,4
308.29,302.03,4,4
308.36,301.59,4,4
308.44,301.15,4,4
308.51,300.71,4,4
308.58,300.27,4,4
308.66,299.82,4,4
308.73,299.38,4,4
308.81,298.93,4,4
308.88,298.47,4,4
308.96,298.02,4,4
309.03,297.56,4,4
309.1,297.1,4,4
309.17,296.63,4,4
309.23,296.16,4,4
309.3,295.69,4,4
309.35,295.21,4,4
309.41,294.72,4,4
309.45,294.23,4,4
309.5,293.74,4,4
309.54,293.25,4,4
309.56,292.75,4,4
309.59,292.24,4,4
309.61,291.73,4,4
309.63,291.22,4,4
309.64,290.71,4,4
309.65,290.18,4,4
309.65,289.66,4,4
309.65,289.14,4,4
309.65,288.61,4,4
309.65,288.07,4,4
309.64,287.54,4,4
309.63,287,4,4
309.62,286.46,4,4
309.61,285.91,4,4
309.61,285.37,4,4
309.6,284.82,4,4
309.59,284.27,4,4
309.58,283.72,4,4
309.57,283.16,4,4
309.56,282.6,4,4
309.55,282.04,4,4
309.54,281.48,4,4
309.53,280.91,4,4
309.52,280.34,4,4
309.51,279.77,4,4
309.5,279.19,4,4
309.49,278.62,4,4
309.48,278.04,4,4
309.47,277.46,4,4
309.45,276.88,4,4
309.44,276.3,4,4
309.42,275.71,4,4
309.41,275.13,4,4
309.39,274.55,4,4
309.37,273.97,4,4
309.34,273.39,4,4
309.32,272.81,4,4
309.29,272.24,4,4
309.26,271.66,4,4
309.23,271.09,4,4
309.2,270.51,4,4
309.16,269.94,4,4
309.13,269.36,4,4
309.09,268.78,4,4
309.05,268.2,4,4
309.02,267.62,4,4
308.98,267.04,4,4
308.94,266.45,4,4
308.91,265.86,4,4
308.88,265.26,4,4
308.85,264.66,4,4
308.82,264.06,4,4
308.8,263.45,4,4
308.78,262.83,4,4
308.76,262.22,4,4
308.75,261.59,4,4
308.74,260.96,4,4
308.73,260.32,4,4
308.73,259.68,4,4
308.73,259.03,4,4
308.74,258.37,4,4
308.75,257.71,4,4
308.76,257.03,4,4
308.77,256.35,4,4
308.78,255.67,4,4
308.8,254.98,4,4
308.82,254.28,4,4
308.83,253.58,4,4
308.85,252.88,4,4
308.87,252.18,4,4
308.88,251.47,4,4
308.9,250.76,4,4
308.91,250.05,4,4
308.92,249.34,4,4
308.93,248.63,4,4
308.94,247.92,4,4
308.94,247.21,4,4
308.94,246.5,4,4
308.94,245.8,4,4
308.94,245.1,4,4
308.94,244.39,4,4
308.93,243.69,4,4
308.93,242.98,4,4
308.92,242.28,4,4
308.92,241.57,4,4
308.92,240.87,4,4
308.91,240.16,4,4
308.91,239.44,4,4
308.91,238.73,4,4
308.91,238.01,4,4
308.91,237.29,4,4
308.91,236.56,4,4
308.92,235.84,4,4
308.92,235.11,4,4
308.93,234.37,4,4
308.93,233.64,4,4
308.94,232.9,4,4
308.94,232.16,4,4
308.95,231.42,4,4
308.95,230.68,4,4
308.95,229.93,4,4
308.96,229.19,4,4
308.96,228.44,4,4
308.97,227.69,4,4
308.97,226.93,4,4
308.98,226.18,4,4
308.98,225.42,4,4
308.99,224.66,4,4
308.99,223.9,4,4
308.99,223.14,4,4
309,222.37,4,4
309,221.6,4,4
309.01,220.83,4,4
309.01,220.06,4,4
309.02,219.29,4,4
309.02,218.51,4,4
309.02,217.73,4,4
309.03,216.95,4,4
309.03,216.17,4,4
309.04,215.39,4,4
309.04,214.6,4,4
309.04,213.81,4,4
309.05,213.03,4,4
309.05,212.24,4,4
309.06,211.45,4,4
309.06,210.66,4,4
309.07,209.87,4,4
309.07,209.07,4,4
309.08,208.28,4,4
309.09,207.49,4,4
309.09,206.69,4,4
309.1,205.89,4,4
309.11,205.1,4,4
309.11,204.3,4,4
309.12,203.5,4,4
309.13,202.69,4,4
309.14,201.89,4,4
309.14,201.08,4,4
309.15,200.28,4,4
309.16,199.47,4,4
309.16,198.66,4,4
309.17,197.84,4,4
309.18,197.03,4,4
309.18,196.21,4,4
309.19,195.39,4,4
309.2,194.57,4,4
309.2,193.74,4,4
309.21,192.92,4,4
309.22,192.09,4,4
309.22,191.26,4,4
309.23,190.43,4,4
309.24,189.59,4,4
309.24,188.76,4,4
309.25,187.92,4,4
309.25,187.08,4,4
309.26,186.24,4,4
309.27,185.4,4,4
309.27,184.55,4,4
309.28,183.71,4,4
309.28,182.86,4,4
309.28,182.01,4,4
309.29,181.16,4,4
309.29,180.31,4,4
309.3,179.45,4,4
309.3,178.6,4,4
309.3,177.74,4,4
309.31,176.88,4,4
309.31,176.02,4,4
309.32,175.15,4,4
309.32,174.29,4,4
309.33,173.42,4,4
309.33,172.55,4,4
309.34,171.68,4,4
309.34,170.81,4,4
309.35,169.93,4,4
309.35,169.05,4,4
309.36,168.18,4,4
309.37,167.3,4,4
309.37,166.41,4,4
309.38,165.53,4,4
309.39,164.64,4,4
309.39,163.76,4,4
309.4,162.87,4,4
309.41,161.98,4,4
309.41,161.08,4,4
309.42,160.19,4,4
309.43,159.29,4,4
309.43,158.4,4,4
309.43,157.5,4,4
309.44,156.6,4,4
309.44,155.69,4,4
309.45,154.79,4,4
309.45,153.88,4,4
309.45,152.98,4,4
309.46,152.07,4,4
309.46,151.16,4,4
309.46,150.25,4,4
309.46,149.33,4,4
309.47,148.41,4,4
309.47,147.5,4,4
309.47,146.58,4,4
309.48,145.65,4,4
309.48,144.73,4,4
309.49,143.8,4,4
309.49,142.88,4,4
309.5,141.95,4,4
309.5,141.02,4,4
309.51,140.09,4,4
309.52,139.15,4,4
309.52,138.22,4,4
309.53,137.28,4,4
309.54,136.34,4,4
309.55,135.4,4,4
309.55,134.45,4,4
309.56,133.51,4,4
309.57,132.57,4,4
309.58,131.62,4,4
309.58,130.68,4,4
309.59,129.73,4,4
309.6,128.78,4,4
309.6,127.84,4,4
309.61,126.9,4,4
309.62,125.96,4,4
309.62,125.02,4,4
309.63,124.08,4,4
309.63,123.15,4,4
309.64,122.22,4,4
309.64,121.3,4,4
309.65,120.38,4,4
309.65,119.46,4,4
309.66,118.55,4,4
309.66,117.64,4,4
309.67,116.75,4,4
309.68,115.85,4,4
309.68,114.96,4,4
309.69,114.08,4,4
309.7,113.2,4,4
309.7,112.33,4,4
309.71,111.47,4,4
309.71,110.61,4,4
309.72,109.76,4,4
309.73,108.91,4,4
309.73,108.07,4,4
309.74,107.23,4,4
