Date(GMT),Date(Local),Time(sec),Latitude,Longitude,Horizontal Accuracy(m),Altitude(m),Vertical Accuracy(m),Distance(m),Speed(m/s),Average Speed(m/s),Course(deg),True Heading(deg),Magnetic Heading(deg),Heading Accuracy(deg),Glide Ratio,Heart Rate (bpm)
2021-02-12 13:47:21.99,2021-02-12 21:47:21.99,204.7598867416382,39.988024,116.482184,14.75873349873562,38.78904349822551,9.30594534737863,1125.985894243614,11.16131111179613,0,40.83465194702148,92.78289031982422,100.1014251708984,10,-574.6861761531759,0
2021-02-12 13:47:22.99,2021-02-12 21:47:22.99,205.7598791122437,39.988108,116.482270,14.75112689286281,38.99004224687815,9.317998105052308,1137.877119908133,11.96055521267908,0,40.83465194702148,96.88813018798828,104.2066650390625,10,-1105.950676500841,0
2021-02-12 13:47:23.99,2021-02-12 21:47:23.99,206.7598694562912,39.988200,116.482377,14.76576940360268,39.14639296382666,9.294777416093931,1151.586198093696,13.00169452218675,0,40.83465194702148,94.82630920410156,102.1448440551758,10,-3123.558296505728,0
2021-02-12 13:47:24.99,2021-02-12 21:47:24.99,207.759861946106,39.988268,116.482514,14.66769501629394,39.19006412569433,9.448785964560987,1165.507771973764,13.74911500747844,0,40.83465194702148,93.80231475830078,101.120849609375,10,4763.427222399546,0
2021-02-12 13:47:25.99,2021-02-12 21:47:25.99,208.7598530054092,39.988362,116.482636,14.63360186448112,39.18683369457722,9.501501448031975,1180.310489510852,14.47099299817486,0,40.83465194702148,92.79380798339844,100.1123428344727,10,2289.052890911635,0
2021-02-12 13:47:26.99,2021-02-12 21:47:26.99,209.7598439455032,39.988458,116.482750,14.62296392501963,39.29655067343265,9.517865272353536,1194.767445689135,14.98036727528814,0,40.83465194702148,92.79380798339844,100.1123428344727,10,1701.29543769251,0
2021-02-12 13:47:27.99,2021-02-12 21:47:27.99,210.7598404884338,39.988559,116.482867,14.61513246185281,39.2956134993583,9.529886485031984,1209.767775915922,14.90260433981092,0,40.72772979736328,92.79380798339844,100.1123428344727,10,1482.997910513503,0
2021-02-12 13:47:28.99,2021-02-12 21:47:28.99,211.7598271369934,39.988662,116.482986,14.62065535374721,39.34923560358584,9.521411151822079,1225.086001236497,14.76951130325187,0,40.72772979736328,90.72686767578125,98.04540252685547,10,1232.778028108127,0
2021-02-12 13:47:29.99,2021-02-12 21:47:29.99,212.7598204612732,39.988767,116.483105,14.62017462755053,39.14954911824316,9.522149292834401,1240.619423889847,15.04462845315674,0,40.72772979736328,88.69038391113281,96.00891876220703,10,1593.181142425156,0
2021-02-12 13:47:30.99,2021-02-12 21:47:30.99,213.759810090065,39.988872,116.483221,14.62881782639518,39.2807407611981,9.508865457941949,1255.865834243858,15.32748921206618,0,40.72772979736328,87.66421508789062,94.98274993896484,10,1705.623923650219,0
2021-02-12 13:47:31.99,2021-02-12 21:47:31.99,214.7598042488098,39.988977,116.483338,14.62636605766598,38.99968052841723,9.512636292966077,1271.219105681226,15.3719104418934,0,40.72772979736328,86.65644073486328,93.9749755859375,10,4105.687228459034,0
2021-02-12 13:47:32.99,2021-02-12 21:47:32.99,215.7597925662994,39.989080,116.483451,14.62104773724054,39.088308817707,9.520808598035794,1286.235385226954,15.16210340541695,0,40.72772979736328,84.59929656982422,91.91783142089844,10,883.4800276179578,0
2021-02-12 13:47:33.99,2021-02-12 21:47:33.99,216.7597832679749,39.989178,116.483560,14.62104458325638,39.32532262708992,9.520813441588285,1300.573135201351,15.12975055495782,0,40.42585754394531,83.5885009765625,90.90703582763672,10,480.634697724795,0
2021-02-12 13:47:34.99,2021-02-12 21:47:34.99,217.7597751617432,39.989279,116.483670,14.62492907592383,39.23802962433547,9.514845391245018,1315.250839969358,15.03330379443736,0,40.42585754394531,82.57558441162109,89.89411926269531,10,321.5175888726039,0
2021-02-12 13:47:35.99,2021-02-12 21:47:35.99,218.7597657442093,39.989380,116.483776,14.63548591619938,39.19513132516295,9.498599122598472,1329.630424524994,14.63783263234176,0,39.28653717041016,81.56597137451172,88.88450622558594,10,344.3753023002823,0
2021-02-12 13:47:36.99,2021-02-12 21:47:36.99,219.7597575187683,39.989482,116.483884,14.6396242809774,39.27140877675265,9.492219667017611,1344.288422707268,14.44689094267406,0,39.28653717041016,79.51138305664062,86.82991790771484,10,353.4971456988272,0
2021-02-12 13:47:37.99,2021-02-12 21:47:37.99,220.7597497701645,39.989581,116.483990,14.63100199491788,39.41424273513258,9.505504401125057,1358.517398483743,14.17593009039915,0,39.28653717041016,78.49074554443359,85.80928039550781,10,316.3643509523681,0
