# x_m,y_m,w_tr_right_m,w_tr_left_m
1186.7,720.11,4,4
1182.1,720.4,4,4
1177.5,720.71,4,4
1172.9,721.02,4,4
1168.3,721.35,4,4
1163.7,721.69,4,4
1159.1,722.04,4,4
1154.5,722.4,4,4
1149.9,722.77,4,4
1145.3,723.14,4,4
1140.7,723.5,4,4
1136.1,723.87,4,4
1131.5,724.24,4,4
1126.9,724.59,4,4
1122.3,724.95,4,4
1117.7,725.28,4,4
1113.1,725.61,4,4
1108.5,725.91,4,4
1103.9,726.2,4,4
1099.3,726.46,4,4
1094.7,726.69,4,4
1090.1,726.89,4,4
1085.5,727.04,4,4
1080.8,727.15,4,4
1076.3,727.23,4,4
1071.7,727.23,4,4
1067.1,727.16,4,4
1062.5,727.01,4,4
1057.9,726.77,4,4
1053.3,726.44,4,4
1048.7,726.01,4,4
1044.2,725.48,4,4
1039.6,724.83,4,4
1035,724.09,4,4
1030.5,723.24,4,4
1026,722.29,4,4
1021.5,721.22,4,4
1017.1,720.05,4,4
1012.7,718.77,4,4
1008.3,717.39,4,4
1003.9,715.9,4,4
999.63,714.3,4,4
995.39,712.61,4,4
991.17,710.8,4,4
987,708.88,4,4
982.89,706.86,4,4
978.82,704.73,4,4
974.82,702.49,4,4
970.88,700.14,4,4
967.03,697.68,4,4
963.24,695.08,4,4
959.56,692.36,4,4
955.97,689.51,4,4
952.47,686.52,4,4
949.1,683.41,4,4
945.83,680.16,4,4
942.71,676.79,4,4
939.73,673.3,4,4
936.88,669.69,4,4
934.19,665.97,4,4
931.66,662.17,4,4
929.29,658.26,4,4
927.08,654.25,4,4
925.02,650.14,4,4
923.13,645.96,4,4
921.4,641.7,4,4
919.84,637.35,4,4
918.46,632.96,4,4
917.24,628.54,4,4
916.19,624.08,4,4
915.31,619.59,4,4
914.6,615.08,4,4
914.06,610.49,4,4
913.68,605.9,4,4
913.46,601.29,4,4
913.41,596.69,4,4
913.53,592.09,4,4
913.81,587.51,4,4
914.25,582.94,4,4
914.84,578.39,4,4
915.59,573.86,4,4
916.48,569.35,4,4
917.52,564.88,4,4
918.7,560.41,4,4
920.03,555.99,4,4
921.49,551.62,4,4
923.08,547.3,4,4
924.8,543.02,4,4
926.63,538.79,4,4
928.57,534.61,4,4
930.6,530.48,4,4
932.72,526.4,4,4
934.92,522.36,4,4
937.2,518.36,4,4
939.54,514.39,4,4
941.92,510.47,4,4
944.34,506.57,4,4
946.8,502.68,4,4
949.27,498.81,4,4
951.74,494.93,4,4
954.21,491.04,4,4
956.67,487.14,4,4
959.07,483.24,4,4
961.42,479.3,4,4
963.72,475.33,4,4
965.93,471.32,4,4
968.06,467.26,4,4
970.07,463.14,4,4
971.97,458.94,4,4
973.71,454.69,4,4
975.27,450.39,4,4
976.66,446.01,4,4
977.85,441.58,4,4
978.8,437.09,4,4
979.51,432.59,4,4
979.96,428.06,4,4
980.13,423.64,4,4
980.03,419.23,4,4
979.65,414.67,4,4
979.02,410.39,4,4
978.08,405.94,4,4
976.92,401.71,4,4
975.5,397.57,4,4
973.83,393.53,4,4
971.86,389.49,4,4
969.68,385.61,4,4
967.26,381.86,4,4
964.58,378.19,4,4
961.68,374.7,4,4
958.56,371.34,4,4
955.26,368.17,4,4
951.78,365.19,4,4
948.15,362.39,4,4
944.38,359.77,4,4
940.48,357.36,4,4
936.48,355.13,4,4
932.37,353.09,4,4
928.17,351.22,4,4
923.9,349.53,4,4
919.56,348.03,4,4
915.14,346.7,4,4
910.7,345.56,4,4
906.21,344.61,4,4
901.66,343.83,4,4
897.1,343.23,4,4
892.54,342.8,4,4
887.98,342.52,4,4
883.38,342.38,4,4
878.76,342.39,4,4
874.16,342.54,4,4
869.56,342.8,4,4
864.96,343.16,4,4
860.37,343.59,4,4
855.77,344.1,4,4
851.21,344.65,4,4
846.65,345.19,4,4
842.06,345.71,4,4
837.52,346.16,4,4
832.93,346.49,4,4
828.34,346.66,4,4
823.78,346.59,4,4
819.29,346.25,4,4
815.66,345.73,4,4
812.45,345.04,4,4
809.69,344.23,4,4
807.17,343.28,4,4
804.8,342.17,4,4
802.62,340.94,4,4
800.64,339.6,4,4
798.83,338.15,4,4
797.09,336.5,4,4
795.54,334.78,4,4
794.13,332.95,4,4
792.82,330.92,4,4
791.62,328.67,4,4
790.5,326.14,4,4
789.55,323.42,4,4
788.73,320.44,4,4
788.07,317.13,4,4
787.61,313.59,4,4
787.36,309.72,4,4
787.38,305.61,4,4
787.65,301.51,4,4
788.2,296.95,4,4
789.01,292.43,4,4
790.05,287.97,4,4
791.31,283.57,4,4
792.8,279.22,4,4
794.51,274.97,4,4
796.46,270.82,4,4
798.65,266.79,4,4
801.03,262.96,4,4
803.67,259.24,4,4
806.55,255.64,4,4
809.61,252.23,4,4
812.87,249,4,4
816.29,245.97,4,4
819.88,243.13,4,4
823.64,240.48,4,4
827.53,238.04,4,4
831.54,235.8,4,4
835.65,233.77,4,4
839.88,231.93,4,4
844.22,230.28,4,4
848.58,228.86,4,4
